ticker,date,coname,exec,dep_code,year,car_0_2,car_0_5,car_3_20,car_full,alpha,beta,n_est,n_evt
APD,2014-07-01,AIR PRODUCTS & CHEMICALS INC,John E. McGlade,3,2014,-0.009624426741813444,-0.004290663304113412,0.048825177644633753,0.033333927771784025,0.00032237602533446703,1.1626542279010936,130,26
DRI,2014-10-14,DARDEN RESTAURANTS INC,Clarence Otis Jr.,3,2014,0.032376408305429566,0.022758464020524713,0.07569291027267881,0.0750891409940137,-0.00014182901364069537,0.7645399449504395,130,26
ANF,2014-12-08,ABERCROMBIE & FITCH -CL A,Michael S. Jeffries,3,2014,0.06914081766448998,0.05668676020090245,0.05439490974224138,0.0701675366484229,-0.0009565657424276677,1.1160827557450448,130,26
EBAY,2015-01-01,EBAY INC,John J. Donahoe II,3,2015,0.004060185162244307,-0.004217181870463625,-0.03421223478678688,-0.041006709747817165,0.0002907018534964511,0.894437508813939,130,26
APA,2015-01-20,APACHE CORP,G. Steven Farris,3,2015,0.009180451760474773,0.05853036753264415,0.08022351307358319,0.15430114437461942,-0.0039372681193014705,1.483196538792135,130,26
MAT,2015-01-25,MATTEL INC,Bryan G. Stockton,3,2015,-0.014148372750853795,0.01947088198074805,-0.050461431665977094,-0.05150404881818888,-0.00197089841854293,0.6844019407072375,130,26
MCD,2015-01-28,MCDONALD'S CORP,Donald Thompson,3,2015,0.04656480868061599,0.050352497185882646,0.05832927111868588,0.09269593141048171,-0.0007314540525375373,0.6792328437092795,130,26
RIG,2015-02-16,TRANSOCEAN LTD,Steven Leon Newman Ph.D.,3,2015,-0.027241247451749884,-0.10283698750104445,-0.061565524547952305,-0.04211953338797822,-0.007425581255173366,1.3680129572377504,130,26
DCI,2015-04-01,DONALDSON CO INC,William M. Cook,3,2015,-0.006385108853197924,-0.012751614832044242,0.0073418339951189255,0.022135289604274938,-0.0008911813634944122,1.0518418398180083,130,26
CAG,2015-04-06,CONAGRA BRANDS INC,Gary M. Rodkin,3,2015,-0.0031960550405021994,-0.01626589868757564,-0.033428645323485974,0.0441605128930613,0.0005643688965237357,0.5758407965768042,130,26
NTAP,2015-06-01,NETAPP INC,Thomas Georgens,3,2015,-0.004429184195090687,0.01329568615045328,0.0005573194245260486,0.06383877602772844,-0.0011473380390851391,0.982537549790894,130,26
TG,2015-06-25,TREDEGAR CORP,Nancy M. Taylor,3,2015,0.008015147254766736,-0.04291512791133485,-0.09163873663912953,-0.07016656874267568,0.0005731687947946845,1.208454053382706,130,26
EPAC,2015-08-25,ACTUANT CORP -CL A,Mark E. Goldstein,3,2015,-0.06754317125023282,-0.0382971188828959,-0.08968795937878293,-0.16948241167280306,-0.0002909231566490927,0.8061041795077534,130,26
DDD,2015-10-28,3D SYSTEMS CORP,Abraham N. Reichental,3,2015,-0.021273806230088847,0.12508887876696592,0.0613728453271373,-0.09282018087240675,-0.005950841833355742,0.9813751182581325,130,26
GEF,2015-10-31,GREIF INC -CL A,David B. Fischer,3,2015,0.017525150206221227,-0.015668081408919964,0.07433454629346356,0.026654393373005403,-0.0007132744268423707,1.0970270703538525,130,26
RL,2015-11-02,RALPH LAUREN CORP,Ralph Lauren,3,2015,0.01358994041156704,0.20630023451156396,0.11180977638723558,0.09813933889376486,-0.00017005749090051635,1.115887734173047,130,26
POWL,2015-12-24,POWELL INDUSTRIES INC,Michael Allan Lucas,3,2015,-0.0053765957155681235,-0.03509735287441102,-0.06951866506241272,-0.02420787251516649,5.3761943426297536e-05,0.7694536512824376,130,26
SVU,2016-02-04,SUPERVALU INC,Sammy K. Duncan,3,2016,0.05733735746188618,0.062471226979386285,0.14196921785690392,0.1967799096293462,-0.0007941943057337532,1.2379073817706736,130,26
GILD,2016-03-10,GILEAD SCIENCES INC,John C. Martin,3,2016,0.022042335618019104,0.004563174389843456,0.06951311660347781,0.08556929680627082,-0.0012002857629755757,1.0512082252259662,130,26
PRGO,2016-04-24,PERRIGO CO PLC,Joseph C. Papa,3,2016,-0.19652325579424207,-0.19565411744911648,0.026313032871906592,-0.2133594616080843,-0.002466725798203326,0.7873874715216659,130,26
ATGE,2016-05-24,ADTALEM GLOBAL EDUCATION INC,Daniel M. Hamburger,4,2016,-0.11172174630159584,-0.0592657016795397,0.11349621807517697,0.04418690100805967,-0.003488603013823107,1.2026121235580178,130,26
ANF,2016-06-12,ABERCROMBIE & FITCH -CL A,Jonathan E. Ramsden,3,2016,0.030260805108406154,0.005115377720049779,-0.03994354486337293,-0.04889852849657056,0.0012250490153549328,1.0887858550051308,130,26
AVT,2016-07-11,AVNET INC,Richard P. Hamada,3,2016,-0.04805716294498858,-0.035042821814158,0.035629457648369806,-0.006369523689679486,-0.0004471522089495812,1.03372891829118,130,26
KMX,2016-08-31,CARMAX INC,Thomas Joseph Folliard,3,2016,0.006081172550592084,0.006540751340923705,-0.1194542439289404,-0.09935123577021572,0.00020406533723359177,1.6113777353611733,130,26
PHM,2016-09-08,PULTEGROUP INC,Richard J. Dugas Jr.,3,2016,-0.02736220600104691,-0.03341577276098771,-0.004192876220067381,-0.05500943527368399,0.0008379969679269286,1.3578051748736855,130,26
WFC,2016-10-12,WELLS FARGO & CO,John G. Stumpf,4,2016,-0.011822339745757296,-0.003814585584043446,0.0769131344745424,0.11540793825035842,-0.0007749482405180982,1.2474350778348104,130,26
CMG,2016-12-01,CHIPOTLE MEXICAN GRILL INC,Montgomery F. Moran,3,2016,0.0012496098126610726,-0.07967909967855116,-0.03656106189486902,-0.05131106769280523,-0.0011964736318591043,0.8751339540439017,130,26
VFC,2016-12-31,VF CORP,Eric C. Wiseman,3,2016,-0.006105044228278249,-0.016002052004197943,-0.022489175684288605,-0.0310447334640727,-0.001295214920515948,1.2223199833194298,130,26
GLBR,2017-02-01,GLOBAL BROKERAGE INC,Dror Niv,4,2017,-0.00592690207574657,-0.6771120472869954,-0.8003710744469232,-0.8463798925644874,-0.0014748605676006077,1.3298826625925773,130,26
ADSK,2017-02-08,AUTODESK INC,Carl Bass,4,2017,-0.04068071394771784,-0.06121645550906843,-0.0641966812176251,-0.08856176721848934,0.0020595380087263934,1.960516914233318,130,26
CSX,2017-03-06,CSX CORP,Michael Jon Ward,3,2017,-0.04007158674906078,-0.0466869613699304,-0.08708379839994868,-0.13179002950938204,0.0037534009732823333,0.9848345113402915,130,26
KO,2017-04-30,COCA-COLA CO,Muhtar Kent,3,2017,0.003826005703988851,0.015224230852763022,0.04677948093781698,0.04586341256875105,-0.00024864306381505827,0.5226883302721649,130,26
F,2017-05-22,FORD MOTOR CO,Mark Fields,3,2017,-0.0038852324654970486,0.0048629606683903825,0.014562737477868066,0.01866077509733094,-0.0012447943358830367,1.7001201528420993,130,26
CROX,2017-06-01,CROCS INC,Gregg S. Ribatt,3,2017,0.012144849070374747,0.0029697854234478852,0.1664778878753306,0.23252524643988462,-0.0027287575054526702,1.3630215272465869,130,26
ZBH,2017-07-11,ZIMMER BIOMET HOLDINGS INC,David C. Dvorak,3,2017,0.0023412088272504114,0.011969446782717559,-0.14296256881911448,-0.15554655339528992,0.0011931372903469335,0.7910840735462532,130,26
GE,2017-07-31,GENERAL ELECTRIC CO,Jeffrey R. Immelt,3,2017,0.002444455112398672,0.01029561018699668,-0.0036331879219825797,-0.007946143609500201,-0.0015216119909275208,0.7954322446464174,130,26
JCI,2017-09-01,JOHNSON CONTROLS INTL PLC,Alex A. Molinaroli,4,2017,0.008839450965558498,-0.005677089053418637,0.016981460993826865,0.039362381351821976,-0.0014756537382388996,1.4662398700072563,130,26
EFX,2017-09-26,EQUIFAX INC,Richard F. Smith,3,2017,0.005138443422223167,0.031644767802700535,-0.008754570430636231,0.10713650504281892,0.0004745116268363287,1.043031851544677,130,26
THC,2017-10-23,TENET HEALTHCARE CORP,Trevor Fetter,3,2017,-0.028242896839096653,-0.04900981902889562,-0.06787185121639758,0.013872838023429455,-2.5545090967075154e-05,0.7477304179461121,130,26
MDLZ,2017-11-19,MONDELEZ INTERNATIONAL INC,Irene B. Rosenfeld,3,2017,-0.002114043648026173,-0.002465349195178607,0.014324422000549085,0.028101160786478327,-0.0012418604182333616,0.9298962823536678,130,26
CMG,2017-11-29,CHIPOTLE MEXICAN GRILL INC,M. Steven Ells,3,2017,0.08116534689419581,0.11503469706884902,0.025879439958202115,0.11552028545472012,-0.005193440956097891,1.6044614141464562,130,26
CAH,2018-01-01,CARDINAL HEALTH INC,George S. Barrett,3,2018,0.028394425807142083,0.07922147464413977,0.1279520669545065,0.15497379544253884,-0.0020498966840390223,0.8872909393895805,130,26
CVX,2018-01-01,CHEVRON CORP,John S. Watson,3,2018,0.015694149922857732,0.008176875987853365,-0.04728040299377391,-0.032561500145311575,0.0009953549050692567,0.24493164042510968,130,26
PRGO,2018-01-15,PERRIGO CO PLC,John T. Hendrickson,3,2018,-0.006179380297550295,0.013432449591707817,-0.09226484896542285,-0.09996729433328562,0.001653125471844715,0.025020968780938475,130,26
DHX,2018-04-10,DHI GROUP INC,Michael P. Durney,3,2018,0.05152106207775521,0.1027892310420025,-0.0774860209904501,0.0021331182425499973,-0.00035540896665527675,0.3870126793731023,130,26
MAT,2018-04-26,MATTEL INC,Mary Margaret Hastings Georgiadis,3,2018,0.09605856808235294,0.0402873056773699,0.03045033503458582,0.10406062354778783,-0.0003867188333485637,0.0727889075863654,130,26
CPB,2018-05-18,CAMPBELL SOUP CO,Denise Mullen Morrison,3,2018,-0.12191196894638467,-0.11276041545894139,0.06984356778745965,-0.0970406995602668,-0.0006455682959224634,0.4496571028420292,130,26
ADNT,2018-06-11,ADIENT PLC,R. Bruce McDonald,3,2018,-0.1544772894499801,-0.12563665171541838,0.11962953676568905,0.025691842278020384,-0.0032865252100616675,0.8290677897554446,130,26
INTC,2018-06-21,INTEL CORP,Brian M. Krzanich,4,2018,-0.026784385645149313,-0.05812478238555689,-0.04016713570302444,-0.09539906240976576,0.0009666965956826855,1.5392411953894134,130,26
MDXG,2018-06-30,MIMEDX GROUP INC,Parker H. Petit,4,2018,-0.3666608210327515,-0.5631973175806819,0.09716760010043483,-0.10715969497281132,-0.0008824077828696056,1.2296854538134354,130,26
BWA,2018-08-01,BORGWARNER INC,James R. Verrier,3,2018,-0.02130991576528066,-0.019446919535682342,-0.008775982983608373,0.013825361311489322,-0.0012908618409738877,1.2463845668463283,130,26
SANM,2018-08-31,SANMINA CORP,Robert K. Eulau,3,2018,-0.03179918720367206,-0.041213137951077394,-0.12225904264494422,-0.15097895088149504,0.0006829503024516798,0.6407416295920577,130,26
NATR,2018-09-30,NATURES SUNSHINE PRODS INC,Gregory L. Probert,3,2018,-0.009021817586320242,-0.006285607460252376,0.14549504082163983,0.14017003324981234,-0.0022958802311017225,0.5856928801043362,130,26
GE,2018-10-01,GENERAL ELECTRIC CO,John L. Flannery,3,2018,0.10327995253174732,0.20428854261327592,-0.01755278383862441,0.021425520541804403,-0.0010480904911251145,0.6912659632752137,130,26
GS,2018-10-01,GOLDMAN SACHS GROUP INC,Lloyd C. Blankfein,3,2018,0.014679806738544066,0.024639260850854484,0.08597871588009603,0.06529095393339909,-0.0012410675788784482,1.201273242930151,130,26
LRCX,2018-12-05,LAM RESEARCH CORP,Martin B. Anstice,4,2018,-0.04122773489413123,-0.03521187977116376,0.09921794493235196,0.08760784840511442,-0.0020788606334302805,1.4449172340148444,130,26
ACHC,2018-12-16,ACADIA HEALTHCARE CO INC,Joey A. Jacobs,3,2018,-0.042390294325440794,-0.10315312572985601,0.058008846715087624,-0.06406763917156409,-0.0004041296892438428,0.47175934244254486,130,26
GILD,2018-12-31,GILEAD SCIENCES INC,John F. Milligan,3,2018,0.06797398591082271,0.05812388260206611,-0.030932566397954626,-0.010498410011982744,0.0003439144895840873,1.0282249725346548,130,26
PSA,2019-01-01,PUBLIC STORAGE,Ronald L. Havner Jr.,3,2019,-0.03014588444845105,-0.02479271935039888,0.06688858829408509,0.028043419518352177,0.000320585653905066,0.09022535654843154,130,26
KMB,2019-01-01,KIMBERLY-CLARK CORP,Thomas J. Falk,3,2019,-0.022500792530162496,-0.0096915915051896,-0.029638668585258567,-0.07658964682050505,0.0008941216115144972,0.1723406301584213,130,26
PCG,2019-01-14,PG&E CORP,Geisha J. Williams,4,2019,-0.6848686215999295,-0.5804557373029007,1.0021131314424807,0.0038087157045096423,-0.0016661316307504707,1.0697880517287317,130,26
SYNA,2019-03-14,SYNAPTICS INC,Richard A. Bergman,3,2019,-0.21930475013146286,-0.22101247474087646,0.11094352755348925,-0.11312866087863187,-0.000624409128417174,1.3469602131857323,130,26
MCK,2019-03-31,MCKESSON CORP,John H. Hammergren,3,2019,-0.026063730975174393,-0.016401977581252943,0.020104621928229954,-0.026522329699618277,-3.327453329467659e-05,0.7147297858927032,130,26
BBBY,2019-05-13,BED BATH & BEYOND INC,Steven H. Temares,3,2019,-0.1932662567067294,-0.2683665709917226,-0.04159863704890658,-0.11257197940604727,-0.001949203714288642,1.7422331368650206,130,26
ACET,2019-05-31,ACETO CORP,William C. Kennally III,3,2019,-0.06911862669343186,0.12323017189005717,0.3455124110924729,0.3239606860252896,-0.0020909426511793424,1.625696334118374,130,26
KHC,2019-06-25,KRAFT HEINZ CO,Bernardo Vieira Hees,3,2019,0.02252286919512496,0.017317516017068768,0.09243693928313929,0.13589531268831462,-0.0036304274917904914,0.49857173099921637,130,26
WFC,2019-06-30,WELLS FARGO & CO,"Timothy J. Sloan, M.B.A.",3,2019,-0.0030020475302984483,0.008927929053683281,0.04022830614088696,0.05585010160830334,-0.0013618168268948092,0.7861399049685673,130,26
MCD,2019-11-01,MCDONALD'S CORP,Stephen J. Easterbrook,4,2019,-0.031289241586566305,-0.029264096878583532,0.001554435684299322,-0.03450069796171675,0.0007781649962635296,0.5218058532349076,130,26
BA,2019-12-23,BOEING CO,Dennis A. Muilenburg,3,2019,0.002051790627729493,-0.008521608892637558,-0.054896040286552976,-0.10475712964606754,1.0101500378063193e-05,0.7424003725034483,130,26
