ticker,date,coname,exec,dep_code,tenure_no,year,gvkey
SBL,2/26/1997,TELXON CORP,Robert F. Meyerson,3,1,1997,10422
SBL,3/17/1999,TELXON CORP,Frank E. Brick,4,1,1999,10422
TNB,8/9/2000,THOMAS & BETTS CORP,Clyde R. Moore,3,1,2000,10540
TRCO,3/1/2017,TRIBUNE MEDIA CO,Peter Liguori,3,1,2017,10726
JCI,6/3/2002,TYCO INTERNATIONAL PLC,L. Dennis Kozlowski,4,1,2002,10787
UNP,12/31/2005,UNION PACIFIC CORP,Richard K. Davidson,3,1,2005,10867
UNH,11/29/2006,UNITEDHEALTH GROUP INC,William W. McGuire,4,1,2006,10903
UTX,11/24/2014,UNITED TECHNOLOGIES CORP,Louis R. Chenevert,3,1,2014,10983
S,10/8/2007,SPRINT CORP,Gary D. Forsee,3,1,2007,10984
S,8/11/2014,SPRINT CORP,Daniel R. Hesse,3,1,2014,10984
VFC,12/31/2016,VF CORP,Eric C. Wiseman,3,1,2016,11060
VNO,4/15/2013,VORNADO REALTY TRUST,Michael D. Fascitelli,3,1,2013,11220
WMT,2/1/2014,WALMART INC,Michael Terry Duke,4,1,2014,11259
WBA,10/1/2008,WALGREENS BOOTS ALLIANCE INC,Jeffrey A. Rein,3,1,2008,11264
WEN,4/17/2006,WENDY'S INTERNATIONAL INC,John T. Schuessler,3,1,2006,11366
WY,4/17/2008,WEYERHAEUSER CO,Steven R. Rogel,3,1,2008,11456
WSM,1/9/2003,WILLIAMS-SONOMA INC,Dale W. Hilpert,3,1,2003,11511
FL,8/15/1999,FOOT LOCKER INC,Roger N. Farah,3,1,1999,11584
APC,3/1/2003,ANADARKO PETROLEUM CORP,John N. Seitz,3,1,2003,11923
TUES,6/5/2012,TUESDAY MORNING CORP,Kathleen Mason,3,1,2012,11944
MS,6/30/2005,MORGAN STANLEY,Philip J. Purcell,3,1,2005,12124
DINE,3/29/2005,REWARDS NETWORKS INC,George S. Wiedemann,3,1,2005,12277
HMA,1/1/2001,HEALTH MANAGEMENT ASSOC,William J. Schoen,4,1,2001,12338
FRED,4/24/2018,FREDS INC,Michael K. R. Bloom,3,1,2018,12403
WTS,8/7/2002,WATTS WATER TECHNOLOGIES INC,Timothy P. Horne,4,1,2002,12445
HLS,3/19/2003,ENCOMPASS HEALTH CORP,Richard M. Scrushy,4,1,2003,12589
CNO,4/28/2000,CNO FINANCIAL GROUP INC,Stephen C. Hilbert,3,1,2000,12603
CNO,11/1/2002,CNO FINANCIAL GROUP INC,Gary C. Wendt,4,1,2002,12603
S,10/27/1998,LANDS END INC -OLD,Michael J. Smith,3,1,1998,12631
KBH,11/1/2006,KB HOME,Bruce Karatz,4,1,2006,12689
UNM,3/31/2003,UNUM GROUP,J. Harold Chandler,3,1,2003,12726
CMVT,5/1/2006,COMVERSE TECHNOLOGY INC,Kobi Alexander,4,1,2006,12884
CMVT,3/4/2011,COMVERSE TECHNOLOGY INC,Andre Dahan,4,1,2011,12884
JOYG,5/26/1999,JOY GLOBAL INC,Jeffery T. Grade,3,1,1999,13003
SSAXD,4/6/1998,SYSTEM SOFTWARE ASSOC INC,Roger C. Covey,3,1,1998,13070
HCP,10/2/2013,HCP INC,James F. Flaherty III CPA CPA,3,1,2013,13125
DXLG,10/20/1999,DESTINATION XL GROUP INC,Joel H. Reichman,3,1,1999,13381
ADMS,4/12/2004,ADVANCED MARKETING SERVICES,Michael M. Nicita,4,1,2004,13503
MBI,2/16/2008,MBIA INC,Gary C. Dunton,3,1,2008,13561
TIF,2/5/2017,TIFFANY & CO,Frederic Patrick Cumenal,3,1,2017,13646
TTS,1/1/2015,TILE SHOP HOLDINGS INC,Robert A. Rucker,3,1,2015,13861
WRC,11/16/2001,WARNACO GROUP INC,Linda J. Wachner,3,1,2001,13990
MGM,11/30/2008,MGM RESORTS INTERNATIONAL,J. Terrence Lanni,4,1,2008,14418
DELL,1/1/2007,DELL TECHNOLOGIES INC,Kevin B. Rollins,3,1,2007,14489
ODP,7/18/2000,OFFICE DEPOT INC,David I. Fuente,3,1,2000,14624
ODP,10/4/2004,OFFICE DEPOT INC,Bruce Nelson,3,1,2004,14624
ODP,11/1/2010,OFFICE DEPOT INC,Stephen A. Odland,4,1,2010,14624
ODP,2/27/2017,OFFICE DEPOT INC,Roland C. Smith,3,1,2017,14624
MTH,5/18/2006,MERITAGE HOMES CORP,John R. Landon,3,1,2006,14790
ATIS,11/13/2002,ADVANCED TISSUE SCI -CL A,Arthur J. Benvenuto,3,1,2002,14836
DDD,10/28/2015,3D SYSTEMS CORP,Abraham N. Reichental,3,1,2015,14898
PDE,6/29/2005,PRIDE INTERNATIONAL INC,Paul A. Bragg,3,1,2005,14908
TG,6/25/2015,TREDEGAR CORP,Nancy M. Taylor,3,1,2015,15459
SPLS,6/14/2016,STAPLES INC,Ronald L. Sargent M.B.A.,3,1,2016,15521
SYMC,7/25/2012,SYMANTEC CORP,Enrique T. Salem,3,1,2012,15855
SYMC,3/20/2014,SYMANTEC CORP,Stephen M. Bennett,3,1,2014,15855
SYMC,8/1/2016,SYMANTEC CORP,Michael A. Brown,3,1,2016,15855
SYMC,5/9/2019,NORTONLIFELOCK INC,Gregory S. Clark,3,1,2019,15855
DGII,12/31/1996,DIGI INTERNATIONAL INC,Ervin F. Kamm Jr.,4,1,1996,16710
EA,3/30/2013,ELECTRONIC ARTS INC,John S. Riccitiello,3,1,2013,16721
BBT,1/27/2010,NATIONAL PENN BANCSHARES INC,Glenn E. Moyer,3,1,2010,17070
OPB,11/26/2018,OPUS BANK,Stephen H. Gordon,3,1,2018,20277
ADPT,11/8/2016,ADEPTUS HEALTH INC,Thomas S. Hall,3,1,2016,20672
RAI,10/1/2004,ALLIED WASTE INDUSTRIES INC,Thomas H. Van Weelden,3,1,2004,22140
HCA,7/24/1997,HCA HEALTHCARE INC,Richard L. Scott,4,1,1997,22260
CHUX,6/1/2010,O'CHARLEY'S INC,Jeffrey D. Warne,3,1,2010,22829
IXYS,8/31/2006,ZILOG INC,James M. Thorburn,3,1,2006,23700
ATML,8/7/2006,ATMEL CORP,George Perlegos,4,1,2006,23767
CVH,1/30/2009,COVENTRY HEALTH CARE INC,Dale Brian Wolf,3,1,2009,23877
X,5/8/2017,UNITED STATES STEEL CORP,Filho Mario Longhi,3,1,2017,23978
DSW,1/31/2009,DSW INC,Heywood Wilansky,3,1,2009,24171
OCR,5/1/2002,NEIGHBORCARE INC,Michael R. Walker,3,1,2002,24187
AES,6/18/2002,AES CORP,Dennis W. Bakke,3,1,2002,24216
VRTX,2/1/2012,VERTEX PHARMACEUTICALS INC,Matthew W. Emmens,3,1,2012,24344
OHP,8/1/1997,OXFORD HEALTH PLANS INC,Stephen F. Wiggins,3,1,1997,24381
HWAY,5/1/2015,TIVITY HEALTH INC,Ben R. Leedle Jr.,3,1,2015,24396
IAAI,3/1/1996,INSURANCE AUTO AUCTIONS INC,Bradley S. Scott,3,1,1996,24704
PRGO,4/24/2016,PERRIGO CO PLC,Joseph C. Papa,3,1,2016,24782
PRGO,1/15/2018,PERRIGO CO PLC,John T. Hendrickson,3,1,2018,24782
GILD,3/10/2016,GILEAD SCIENCES INC,John C. Martin,3,1,2016,24856
GILD,12/31/2018,GILEAD SCIENCES INC,John F. Milligan,3,1,2018,24856
TWX,5/16/2002,TIME WARNER INC,Gerald M. Levin,3,1,2002,25056
TWX,12/31/2007,TIME WARNER INC,Richard D. Parsons Esq. J.D.,3,1,2007,25056
MEDQ,7/11/2011,MEDQUIST INC,"Peter L. Masanotti, J.D.",3,1,2011,25216
BSX,7/13/2009,BOSTON SCIENTIFIC CORP,James R. Tobin,3,1,2009,25279
BBBY,5/13/2019,BED BATH & BEYOND INC,Steven H. Temares,3,1,2019,25338
SBUX,1/7/2008,STARBUCKS CORP,James L. Donald,3,1,2008,25434
DYN,5/1/2002,DYNEGY INC,Charles L. Watson,3,1,2002,25495
UIS,11/1/1996,EPRESENCE INC,David C. Mahoney,3,1,1996,25631
MTX,2/27/2014,MINERALS TECHNOLOGIES INC,Robert S. Wetherbee,3,1,2014,25870
PDCO,6/1/2017,PATTERSON COMPANIES INC,Scott P. Anderson,3,1,2017,25880
ADNT,6/11/2018,ADIENT PLC,R. Bruce McDonald,3,1,2018,27333
NLS,8/1/2007,NAUTILUS INC,Greggory C. Hammann,3,1,2007,27760
NLS,3/1/2019,NAUTILUS INC,Bruce M. Cazenave,3,1,2019,27760
CHK,4/1/2013,CHESAPEAKE ENERGY CORP,Aubrey K. McClendon,4,1,2013,27786
CREE,6/25/2001,CREE INC,F. Neal Hunter,4,1,2001,27794
AGN,7/1/2014,ALLERGAN PLC,Paul M. Bisaro,3,1,2014,27845
HUM,8/1/1999,HUMANA INC,Gregory H. Wolf,3,1,1999,27914
SANM,8/31/2018,SANMINA CORP,Robert K. Eulau,3,1,2018,28139
ARNC,1/4/2010,ARCONIC INC,Klaus-Christian Kleinfeld,4,1,2010,28192
RIG,2/16/2015,TRANSOCEAN LTD,Steven Leon Newman Ph.D.,3,1,2015,28338
SGY,4/28/2017,STONE ENERGY CORP,David H. Welch,3,1,2017,28564
BWA,8/1/2018,BORGWARNER INC,James R. Verrier,3,1,2018,28742
MAA,12/30/2008,COLONIAL PROPERTIES TRUST,C. Reynolds Thompson III,3,1,2008,28900
BKS,8/4/2015,BARNES & NOBLE INC,Michael P. Huseby,3,1,2015,28924
BKS,8/16/2016,BARNES & NOBLE INC,Ronald D. Boire,3,1,2016,28924
BKS,7/3/2018,BARNES & NOBLE INC,Demos Parneros,4,1,2018,28924
MLNK,3/1/2002,STEEL CONNECT INC,David S. Wetherell,3,1,2002,29621
MLNK,8/23/2004,STEEL CONNECT INC,George A. McMillan,3,1,2004,29621
MLNK,10/1/2012,STEEL CONNECT INC,Joseph C. Lawler,3,1,2012,29621
SFN,4/9/2001,SFN GROUP INC,Raymond Marcy,3,1,2001,29647
PLD,12/8/2008,PROLOGIS INC,Jeffrey Howard Schwartz,3,1,2008,29984
MPS,3/1/2001,MPS GROUP INC,Derek E. Dewan,3,1,2001,30608
AMED,2/24/2014,AMEDISYS INC,William F. Borne,3,1,2014,30612
ACS,9/29/2005,AFFILIATED COMPUTER SERVICES,Jeffrey A. Rich,4,1,2005,30697
ACS,11/26/2006,AFFILIATED COMPUTER SERVICES,Mark A. King,4,1,2006,30697
NM,9/1/1998,CONCENTRA MANAGED CARE INC,Donald J. Larson,3,1,1998,31786
DLPH,10/5/2018,DELPHI TECHNOLOGIES PLC,Liam Butterworth,3,1,2018,31802
DRI,10/14/2014,DARDEN RESTAURANTS INC,Clarence Otis Jr.,3,1,2014,31846
CPC,5/1/2003,CENTRAL PARKING CORP,William J Vareschi Jr.,3,1,2003,61404
NTAP,6/1/2015,NETAPP INC,Thomas Georgens,3,1,2015,61591
IRM,4/12/2011,IRON MOUNTAIN INC,Robert T. Brennan,3,1,2011,62374
PRGX,1/1/2013,PRGX GLOBAL INC,Romil Bahl,3,1,2013,62494
CENX,10/15/2003,CENTURY ALUMINUM CO,Gerald A. Meyers,3,1,2003,62516
CENX,1/1/2011,CENTURY ALUMINUM CO,Logan W. Kruger,3,1,2011,62516
ANF,12/8/2014,ABERCROMBIE & FITCH -CL A,Michael S. Jeffries,3,1,2014,63643
ANF,6/12/2016,ABERCROMBIE & FITCH -CL A,Jonathan E. Ramsden,3,1,2016,63643
ENDP,9/23/2016,ENDO INTERNATIONAL PLC,Rajiv Kanishka Liyanaarchchie De Silva,3,1,2016,63645
